"","date","SVIXsq30","SVIXsq60","SVIXsq91","SVIXsq182","SVIXsq365"
"1",1996-01-04,0.0155443399718793,0.0148394703641469,0.0145714539671904,0.014878344977433,0.0168098883671134
"2",1996-01-05,0.014990777570531,0.0144864299685019,0.0142744243441027,0.0150288896236292,0.0170714071592917
"3",1996-01-08,0.0139844517044264,0.0140614702028315,0.0139934799216216,0.0146458051567621,0.016577181137794
"4",1996-01-09,0.0204020018961437,0.016561196694941,0.0159577870724752,0.015812546769609,0.0173586856609966
"5",1996-01-10,0.0208811223382979,0.0185862842128103,0.018062481090498,0.0167240483506136,0.0182466954841645
"6",1996-01-11,0.0173941758776754,0.0163506972807739,0.01607027277922,0.0155639063110378,0.0169409049012589
"7",1996-01-12,0.0167735249833376,0.016375947242548,0.0160838995948836,0.0153701468756938,0.017497826929269
"8",1996-01-15,0.0189458058204084,0.0173939124119217,0.0169681066624745,0.01614915977908,0.0177080376730075
"9",1996-01-16,0.0167958492026807,0.0159132438466322,0.0156402855268723,0.0154032442553341,0.0170675632078285
"10",1996-01-17,0.0171824945310044,0.0160223253915243,0.015840774062594,0.0157191241301201,0.0175359111806095
"11",1996-01-18,0.0164616030945753,0.0158610280598518,0.0155285128859446,0.0153810962378984,0.0169818629204916
"12",1996-01-19,0.0140815185522249,0.0144362051203607,0.0144054892982608,0.0146344458248237,0.0165961275961347
"13",1996-01-22,0.0161070539744871,0.0148951947027328,0.0142732453040497,0.0148403965658136,0.0165063416859718
"14",1996-01-23,0.0157284839970269,0.0151249764346675,0.0144603031215354,0.0149396176456794,0.0166188043261876
"15",1996-01-24,0.0138644694352644,0.01355981152333,0.0136885700206091,0.0143844619473799,0.016074015193068
"16",1996-01-25,0.0147720972182605,0.0139831216615427,0.0133838009796237,0.0139296257770818,0.0157914156241993
"17",1996-01-26,0.012636652759101,0.0126803383463291,0.012789850014836,0.0135170024734718,0.0155184730924795
"18",1996-01-29,0.0131377044061853,0.0127466415239642,0.0126121793249536,0.0133844432096451,0.0153781073897445
"19",1996-01-30,0.01315937379469,0.0124735663314548,0.0120980766510129,0.0127038761847236,0.0148289184841639
"20",1996-01-31,0.0130979867472868,0.0121965328727727,0.011668227485745,0.0120739437234699,0.0145176698051272
"21",1996-02-01,0.0133041223540308,0.0124605870925669,0.0117874806646643,0.0120262447564041,0.0142681199374817
"22",1996-02-02,0.0149188417816871,0.0141706360431875,0.0132339203708847,0.012772983665315,0.0146419900711952
"23",1996-02-05,0.0158269435616788,0.0142425115191157,0.0133883327570567,0.0130224925029618,0.0145508472582353
"24",1996-02-06,0.0187365097609995,0.0170159029473965,0.015820497174111,0.0145900537839805,0.0154623700681153
